"x","y","uniquesquirrelid","hectare","shift","date","hectaresquirrelnumber","age","primaryfurcolor","highlightfurcolor","combinationofcolors","colornotes","location","abovegroundsightermeasurement","specificlocation","running","chasing","climbing","eating","foraging","otheractivities","kuks","quaas","moans","tailflags","tailtwitches","approaches","indifferent","runsfrom","otherinteractions","latlon","zipcodes","communitydistricts","boroughboundaries","citycouncildistricts","policeprecincts"
"-73.9557172","40.7921126","35G-PM-1006-01","35G","PM",10062018,1,"Adult","Black","Cinnamon","Black+Cinnamon",NULL,"Ground Plane","FALSE",NULL,True,False,True,False,False,NULL,False,False,False,False,True,False,False,True,NULL,"POINT (-73.9557172336815 40.7921125657722)",NULL,19,4,19,13
"-73.9691031","40.7706694","9I-AM-1014-02","09I","AM",10142018,2,"Adult","Gray",NULL,"Gray+","Very far, so appx","Above Ground","35",NULL,False,False,True,False,False,NULL,False,False,False,False,False,False,False,False,NULL,"POINT (-73.9691031094688 40.7706693835189)",NULL,19,4,19,13
"-73.9615603","40.7945662","35A-PM-1013-08","35A","PM",10132018,8,"Adult","Gray","White","Gray+White",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,True,False,False,True,NULL,"POINT (-73.9615602805554 40.7945662185621)",NULL,19,4,19,13
"-73.9598085","40.7976165","39A-PM-1014-01","39A","PM",10142018,1,"Adult","Gray","White","Gray+White",NULL,"Ground Plane","FALSE",NULL,False,True,False,False,False,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9598084794625 40.7976165434502)",NULL,19,4,19,13
"-73.9746934","40.7733139","9C-PM-1006-05","09C","PM",10062018,5,"Adult","Gray","White","Gray+White",NULL,"Ground Plane","FALSE",NULL,False,False,False,True,False,NULL,False,False,False,False,False,False,False,True,"w/ dog","POINT (-73.9746933852572 40.773313866931)",NULL,19,4,19,13
"-73.9645147","40.7772567","17I-AM-1014-04","17I","AM",10142018,4,"Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",NULL,"Ground Plane","FALSE",NULL,False,False,False,True,True,NULL,False,False,False,False,False,True,True,False,NULL,"POINT (-73.9645147011741 40.7772566833799)",NULL,19,4,19,13
"-73.9714090","40.7767917","14D-AM-1014-12","14D","AM",10142018,12,"Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",NULL,"Ground Plane","FALSE",NULL,False,False,False,True,True,NULL,False,False,False,False,False,True,False,False,NULL,"POINT (-73.9714089647431 40.7767916587915)",NULL,19,4,19,13
"-73.9642380","40.7774793","17I-PM-1017-01","17I","PM",10172018,1,"Juvenile","Cinnamon","White","Cinnamon+White",NULL,"Above Ground","15",NULL,False,False,True,False,False,NULL,False,False,False,False,False,False,False,False,"was in a tree,so i couldn't really tell","POINT (-73.9642379942652 40.7774792520738)",NULL,19,4,19,13
"-73.9568691","40.7988859","41C-AM-1017-05","41C","AM",10172018,5,"Adult","Gray",NULL,"Gray+",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.956869086031 40.7988858771114)",NULL,19,4,19,13
"-73.9582850","40.7978976","39B-PM-1014-01","39B","PM",10142018,1,"Adult","Gray","White","Gray+White","White belly","Ground Plane","FALSE",NULL,False,False,False,True,True,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9582850206205 40.7978975855555)",NULL,19,4,19,13
"-73.9582644","40.8000460","42A-AM-1019-01","42A","AM",10192018,1,"Juvenile","Gray","White","Gray+White",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,True,False,True,False,NULL,"POINT (-73.95826439540551 40.8000460061272)",NULL,19,4,19,13
"-73.9771335","40.7668431","2E-AM-1010-01","02E","AM",10102018,1,"Adult","Gray","Cinnamon","Gray+Cinnamon",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,True,False,True,False,NULL,"POINT (-73.9771335416403 40.7668431485224)",NULL,19,4,19,13
"-73.9692190","40.7763366","14F-AM-1007-02","14F","AM",10072018,2,"Adult","Gray","Cinnamon, White","Gray+Cinnamon, White",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9692190295442 40.7763366309154)",NULL,19,4,19,13
"-73.9736166","40.7724544","8D-AM-1007-04","08D","AM",10072018,4,"Adult","Gray",NULL,"Gray+",NULL,"Above Ground","3",NULL,False,True,False,False,False,"chasing squirrel #3",False,False,False,False,False,False,False,False,NULL,"POINT (-73.9736165917399 40.7724543901497)",NULL,19,4,19,13
"-73.9642289","40.7820440","22F-AM-1007-06","22F","AM",10072018,6,"Adult","Cinnamon",NULL,"Cinnamon+",NULL,"Ground Plane","FALSE",NULL,False,False,True,True,False,NULL,False,False,False,False,False,True,False,False,NULL,"POINT (-73.9642288873015 40.7820439983567)",NULL,19,4,19,13
"-73.9528463","40.7923843","36I-AM-1017-04","36I","AM",10172018,4,"Adult","Gray","Cinnamon","Gray+Cinnamon",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9528462779437 40.7923843043685)",NULL,19,4,19,13
"-73.9609705","40.7938787","34B-AM-1013-03","34B","AM",10132018,3,"Adult","Cinnamon","Gray","Cinnamon+Gray",NULL,"Above Ground","15",NULL,True,False,True,False,False,"hopping",False,False,False,False,False,True,False,True,NULL,"POINT (-73.9609704650925 40.7938786854735)",NULL,19,4,19,13
"-73.9534510","40.7921084","36I-AM-1017-07","36I","AM",10172018,7,"Adult","Gray","Cinnamon","Gray+Cinnamon",NULL,"Ground Plane","FALSE",NULL,False,True,False,False,True,"chasing (#8),scratching",True,False,False,False,True,False,True,False,NULL,"POINT (-73.9534509627885 40.7921084224711)",NULL,19,4,19,13
"-73.9577113","40.7904332","32G-PM-1013-02","32G","PM",10132018,2,"Juvenile","Black",NULL,"Black+",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9577113026056 40.7904332453456)",NULL,19,4,19,13
"-73.9808248","40.7689409","2A-PM-1019-01","02A","PM",10192018,1,"Adult","Gray","White","Gray+White",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,False,"runs from",False,False,False,True,False,False,False,True,NULL,"POINT (-73.9808247660048 40.7689408831287)",NULL,19,4,19,13
"-73.9591667","40.7937602","35D-PM-1013-07","35D","PM",10132018,7,"Juvenile","Gray","White","Gray+White",NULL,"Above Ground","12","tree",False,False,True,False,False,NULL,False,False,False,False,True,False,True,False,NULL,"POINT (-73.95916671628011 40.7937602121568)",NULL,19,4,19,13
"-73.9714244","40.7713974","8G-PM-1017-02","08G","PM",10172018,2,"Adult","Gray",NULL,"Gray+",NULL,"Ground Plane","FALSE",NULL,False,False,False,False,True,NULL,False,False,False,False,False,False,True,False,NULL,"POINT (-73.9714243547433 40.7713973982359)",NULL,19,4,19,13
"-73.9629383","40.7889384","29C-AM-1007-02","29C","AM",10072018,2,"Adult","Black","Gray","Black+Gray",NULL,"Above Ground","10",NULL,True,False,True,False,False,NULL,False,True,False,False,False,False,False,True,NULL,"POINT (-73.9629383420274 40.7889383725489)",NULL,19,4,19,13
